X,topic_number,sentiment,type_of_sentiment
336,7,0.0648600299956004,pos
337,6,0.0262065358380411,pos
338,0,0.0576509116579865,pos
339,0,0.0320933324271923,pos
340,8,-0.253550978901343,neg
341,1,0.399253942970606,pos
342,3,0.259201770829414,pos
343,3,-0.0230998568478759,neg
344,2,-0.038698228899366,neg
345,1,0.0941498785071604,pos
346,6,0.462459162276546,pos
347,5,0.168233036259828,pos
348,6,0.287298048460738,pos
349,5,0.203698173097214,pos
350,5,0.158707411350202,pos
351,6,0.0256544171631534,pos
352,6,0.184890926506791,pos
353,3,0.139464619642828,pos
354,6,-0.0119921500204209,neg
355,7,0.307354434328097,pos
356,1,-0.0647583543050951,neg
357,1,0.0957449358863671,pos
358,1,0.258676750070142,pos
359,7,0.196832196276912,pos
360,4,-0.16869403882067,neg
361,1,0.259935929004102,pos
362,2,0.0900415798449573,pos
363,5,0.265469756947345,pos
364,1,0.0675040243285847,pos
365,6,0.257332451192936,pos
366,3,0.166375943330385,pos
367,8,-0.0277710710515765,neg
368,6,0.308314821317591,pos
369,4,0.0609519667257073,pos
370,6,0.255584917122488,pos
371,7,0.136233902505698,pos
372,5,0.129876775878827,pos
373,1,0.192165244228486,pos
374,7,-0.0526692993600511,neg
375,0,0.110085916486769,pos
376,1,-0.094192574575321,neg
377,5,0.212239116336679,pos
378,6,-0.119808100691929,neg
379,1,0.130770647201282,pos
380,5,0.0613348887850759,pos
381,5,0.421624764089037,pos
382,7,0.0359334645687383,pos
383,1,0.0621705109340759,pos
384,5,0.0544823704513997,pos
385,7,0.167439894212796,pos
386,4,0.231860842608959,pos
387,8,0.0489825315937604,pos
388,3,0.241782128208401,pos
389,7,0.210696565953513,pos
390,1,0.332780396833055,pos
391,1,0.0625235446183538,pos
392,4,0.145167141533472,pos
393,6,0.182148595101045,pos
394,6,0.056599732567184,pos
395,1,0.311958423423838,pos
396,1,0.164942831337553,pos
397,1,-0.0046650987414169,neu
398,5,0.251177576684236,pos
399,6,0.221995156503631,pos
400,4,0.293480365251011,pos
401,7,0.120070261262042,pos
402,6,0.0850182145901333,pos
403,4,0.211744088015859,pos
404,5,0.0119975395350562,pos
405,7,0.204275522095215,pos
406,7,0.0442992215967712,pos
407,4,0.791920380523312,pos
408,7,0.275990740079873,pos
409,2,-0.456509442050795,neg
410,7,0.192733399819346,pos
411,7,0.0999535747895163,pos
412,7,0.146523459799739,pos
413,7,-0.0197027960549976,neg
414,7,0.115948990222394,pos
415,6,0.0121471828116727,pos
416,1,0.0466371293017629,pos
417,1,0.121048679272224,pos
418,7,0.169423265253331,pos
419,7,-0.164887704543606,neg
420,1,0.184819671555791,pos
421,6,0.106932365845831,pos
422,8,-0.216020503049392,neg
423,3,0.239092538644392,pos
424,7,0.0299655984888213,pos
425,6,0.281452597800253,pos
426,6,0.405726029463611,pos
427,8,0.244830847961478,pos
428,8,-0.0554448609779137,neg
429,5,0.135911728783115,pos
430,4,0.141782898575553,pos
431,0,0.0802123751837224,pos
432,7,0.255518037083269,pos
433,6,0.143335236974805,pos
434,1,0.152566965004485,pos
435,1,0.0227657890070377,pos
436,5,-0.0585284073826641,neg
437,8,-0.358145081362038,neg
438,8,-0.112485822575006,neg
439,7,0.405992794811427,pos
440,0,0.04204036040783,pos
441,0,0.0782235895813473,pos
442,0,0.129069188147899,pos
443,1,0.285303189212625,pos
444,5,0.391275702012447,pos
445,7,-0.0717001959674916,neg
446,6,0.179163437642608,pos
447,1,0.252259810798878,pos
448,1,0.195914165853411,pos
449,6,0.433271478517337,pos
450,3,0.109069053679021,pos
451,3,0.187548117187618,pos
452,1,0.11312445976839999,pos
453,1,-0.100588605697171,neg
454,6,0.125152160611624,pos
455,5,0.086795137230818,pos
456,4,0.462802538963695,pos
457,3,0.205312224259575,pos
458,5,0.127289011296125,pos
459,1,0.342321972006575,pos
460,7,0.106551016035245,pos
461,7,0.300332328070241,pos
462,1,0.00359748025725762,neu
463,6,0.403776665645944,pos
464,4,0.225900606443814,pos
465,6,0.56410729881196,pos
466,5,0.0852884262521239,pos
467,7,0.0577537198155722,pos
468,7,0.0338293784320764,pos
469,6,0.124288548571158,pos
470,1,0.0218992637064144,pos
471,6,0.22402228886505,pos
472,1,0.0615858629928195,pos
473,2,-0.320431485905006,neg
474,6,0.308633310714295,pos
475,1,0.0392719194439047,pos
476,3,0.303492890958739,pos
477,6,0.0950800445590871,pos
478,7,-0.0461374848662075,neg
479,5,0.24882795105836,pos
480,6,0.134534825560629,pos
481,0,0.127604292005851,pos
482,5,0.233015475203219,pos
483,1,0.394381246630844,pos
484,8,0.253387951412217,pos
485,7,0.221638903160816,pos
486,6,0.0721647187149296,pos
487,1,0.12165583295827,pos
488,1,0.316604757349361,pos
489,4,0.0853212032092221,pos
490,7,0.219547006661232,pos
491,0,0.312640768625829,pos
492,1,0.138658487793078,pos
493,3,1.38777878078145e-17,neu
494,4,-0.229415733870562,neg
495,6,0.133135183687444,pos
496,7,-0.190372574200347,neg
497,6,0.119284698795843,pos
498,6,-0.0466623034144789,neg
499,4,0.151694641886019,pos
500,8,-0.310325769689424,neg
501,7,-0.0884693484966951,neg
502,7,0.101952009935691,pos
503,6,0.270951128483738,pos
504,6,0.272844284668363,pos
505,4,-0.184013282192108,neg
506,1,0.0365804473264593,pos
